stop_id,stop_name,stop_lat,stop_lon
22_9,J. Pasar Baharu (Tamu Gadong),0.0,0.0
22_10,Maktab Duli PMHAMB / CSPS,0.0,0.0
22_11,CSPS / Maktab Duli PMHAMB,0.0,0.0
22_12,UNISSA / Business School,0.0,0.0
22_13,UNISSA / Business School,0.0,0.0
22_14,J. Tungku (Narcotic CB),0.0,0.0
22_15,J. Tungku (Spg 162/Narcotic CB),0.0,0.0
22_16,J. Tungku (Spg 162/185 Aprina),0.0,0.0
22_17,J. Tungku (Masjid Kg Tungku/Spg 355/185),0.0,0.0
22_18,J. Tungku (Spg 217 / 255),0.0,0.0
22_19,RPN Kg Rimba (J. 60),0.0,0.0
22_20,RPN Kg Rimba (J. 99 - SM Rimba 2),0.0,0.0
22_21,RPN Kg Rimba (J. 3 - SR Rimba 2),0.0,0.0
22_22,UBD Library / ITB,0.0,0.0
22_23,Giant Rimba,0.0,0.0
22_24,UBD (Core & Hostel/JIS),0.0,0.0
22_25,RPN Kg Rimba (J. 82 - SR Rimba 1),0.0,0.0
22_26,JIS/UBD (Hostel & Core),0.0,0.0
22_27,RPN Kg Rimba (Gerai Aneka/SM Rimba 1),0.0,0.0
22_28,RPN Kg Rimba (J. 3 - SR Rimba 2),0.0,0.0
22_29,J. Penghubung Rimba (DeRimba),0.0,0.0
22_30,RPN Kg Rimba (J. 99 / 2 / 60 / Glaat),0.0,0.0
22_31,J. Penghubung Rimba (Spg 82/51/Armada),0.0,0.0
22_32,Masjid Kg Tungku,0.0,0.0
22_33,J. Penghubung Rimba (Spg 51 / 82 / 127),0.0,0.0
22_34,J. Tungku (Spg 289 / 355),0.0,0.0
22_35,J. Penghubung Rimba (Spg 51 / 82 / 127),0.0,0.0
23_1,BSB Bus Terminal,0.0,0.0
23_2,J. Kianggeh (Terrace / Radisson),0.0,0.0
23_3,J. Kianggeh (Terrace / Radisson),0.0,0.0
23_4,J. Simpang (SOAS),0.0,0.0
23_5,J. Simpang (SOAS),0.0,0.0
23_6,J. Kumbang Pasang (STPR / Riverview),0.0,0.0
23_7,J. Simpang (STPRI),0.0,0.0
